"competencia","data","ano","nivel","aprovada","distribuida","ocupada","vago","nivel_nome","taxa_vacancia"
202203,2022-03-01,2022,"NM",2400,2301,1706,694,"Nível médio",28.92
202203,2022-03-01,2022,"NS",430192,372456,290452,139740,"Nível superior",32.48
202204,2022-04-01,2022,"NA",17064,17056,16610,454,"Nível de apoio",2.66
202204,2022-04-01,2022,"NI",280783,250650,174583,106200,"Nível intermediário",37.82
202204,2022-04-01,2022,"NM",2401,2303,1704,697,"Nível médio",29.03
202204,2022-04-01,2022,"NS",430140,372472,290136,140004,"Nível superior",32.55
202205,2022-05-01,2022,"NA",16997,16986,16552,445,"Nível de apoio",2.62
202205,2022-05-01,2022,"NI",280521,250472,174097,106424,"Nível intermediário",37.94
202205,2022-05-01,2022,"NM",2399,2301,1711,688,"Nível médio",28.68
202205,2022-05-01,2022,"NS",430112,372633,289948,140164,"Nível superior",32.59
202206,2022-06-01,2022,"NA",16894,16886,16445,449,"Nível de apoio",2.66
202206,2022-06-01,2022,"NI",280111,249928,173176,106935,"Nível intermediário",38.18
202206,2022-06-01,2022,"NM",2398,2357,1939,459,"Nível médio",19.14
202206,2022-06-01,2022,"NS",430060,372671,290141,139919,"Nível superior",32.53
202207,2022-07-01,2022,"NA",16820,16806,16358,462,"Nível de apoio",2.75
202207,2022-07-01,2022,"NI",279786,249769,172609,107177,"Nível intermediário",38.31
202207,2022-07-01,2022,"NM",2394,2352,1996,398,"Nível médio",16.62
202207,2022-07-01,2022,"NS",430032,373221,290609,139423,"Nível superior",32.42
202208,2022-08-01,2022,"NA",16748,16736,16274,474,"Nível de apoio",2.83
202208,2022-08-01,2022,"NI",279413,249522,172026,107387,"Nível intermediário",38.43
202208,2022-08-01,2022,"NM",2393,2351,1998,395,"Nível médio",16.51
202208,2022-08-01,2022,"NS",429994,373552,290924,139070,"Nível superior",32.34
202209,2022-09-01,2022,"NA",16686,16667,16189,497,"Nível de apoio",2.98
202209,2022-09-01,2022,"NI",279026,249233,171486,107540,"Nível intermediário",38.54
202209,2022-09-01,2022,"NM",2409,2352,1998,411,"Nível médio",17.06
202209,2022-09-01,2022,"NS",429942,373665,290983,138959,"Nível superior",32.32
202210,2022-10-01,2022,"NA",16599,16581,16093,506,"Nível de apoio",3.05
202210,2022-10-01,2022,"NI",278720,248977,171058,107662,"Nível intermediário",38.63
202210,2022-10-01,2022,"NM",2412,2364,2004,408,"Nível médio",16.92
202210,2022-10-01,2022,"NS",429884,373756,291505,138379,"Nível superior",32.19
202211,2022-11-01,2022,"NA",16522,16485,15990,532,"Nível de apoio",3.22
202211,2022-11-01,2022,"NI",278434,248725,170482,107952,"Nível intermediário",38.77
202211,2022-11-01,2022,"NM",2412,2364,1996,416,"Nível médio",17.25
202211,2022-11-01,2022,"NS",429794,373750,291633,138161,"Nível superior",32.15
202212,2022-12-01,2022,"NA",16469,16438,15928,541,"Nível de apoio",3.28
202212,2022-12-01,2022,"NI",278420,248046,170012,108408,"Nível intermediário",38.94
202212,2022-12-01,2022,"NM",2406,2360,1991,415,"Nível médio",17.25
202212,2022-12-01,2022,"NS",429776,373030,291354,138422,"Nível superior",32.21
202301,2023-01-01,2023,"NA",16390,16358,15836,554,"Nível de apoio",3.38
202301,2023-01-01,2023,"NI",278166,247829,169453,108713,"Nível intermediário",39.08
202301,2023-01-01,2023,"NM",2309,2263,1895,414,"Nível médio",17.93
202301,2023-01-01,2023,"NS",429798,373192,291254,138544,"Nível superior",32.23
202302,2023-02-01,2023,"NA",16298,16265,15741,557,"Nível de apoio",3.42
202302,2023-02-01,2023,"NI",277859,247583,168701,109158,"Nível intermediário",39.29
202302,2023-02-01,2023,"NM",2184,2139,1764,420,"Nível médio",19.23
202302,2023-02-01,2023,"NS",429810,373390,291393,138417,"Nível superior",32.2
202303,2023-03-01,2023,"NA",16221,16188,15662,559,"Nível de apoio",3.45
