"competencia","data","ano","entidade","entidade_nome","bloco","aprovada","distribuida","ocupada","vago","nunca_distribuido","vago_pos_distrib","taxa_vacancia"
201601,2016-01-01,2016,26424,"INSTITUTO FEDERAL DO TOCANTINS","26424",1198,1196,1142,56,2,54,4.67
201601,2016-01-01,2016,26426,"INSTITUTO FEDERAL DO AMAPA","26426",570,370,338,232,200,32,40.7
201601,2016-01-01,2016,26427,"INSTITUTO FEDERAL DA BAHIA","26427",2989,2547,2471,518,442,76,17.33
201601,2016-01-01,2016,26428,"INSTITUTO FEDERAL DE BRASILIA","26428",1116,976,939,177,140,37,15.86
201601,2016-01-01,2016,26429,"INSTITUTO FEDERAL DE GOIAS","26429",2063,1907,1853,210,156,54,10.18
201601,2016-01-01,2016,26430,"INSTITUTO FEDERAL DO SERTAO PERNAMBUCANO","26430",1023,975,857,166,48,118,16.23
201601,2016-01-01,2016,26431,"INSTITUTO FEDERAL DO PIAUI","26431",2213,2047,1952,261,166,95,11.79
201601,2016-01-01,2016,26432,"INSTITUTO FEDERAL DO PARANA","26432",2100,1768,1728,372,332,40,17.71
201601,2016-01-01,2016,26433,"INSTITUTO FEDERAL DO RIO DE JANEIRO","26433",1968,1571,1499,469,397,72,23.83
201601,2016-01-01,2016,26434,"INSTITUTO FEDERAL FLUMINENSE","26434",1712,1691,1669,43,21,22,2.51
201601,2016-01-01,2016,26435,"INSTITUTO FEDERAL DO RIO GRANDE DO NORTE","26435",2686,2514,2458,228,172,56,8.49
201601,2016-01-01,2016,26436,"INSTITUTO FEDERAL SUL RIO-GRANDENSE","26436",1730,1687,1646,84,43,41,4.86
201601,2016-01-01,2016,26437,"INSTITUTO FEDERAL DE RORAIMA","26437",675,635,611,64,40,24,9.48
201601,2016-01-01,2016,26438,"INSTITUTO FEDERAL DE SANTA CATARINA","26438",2522,2281,2191,331,241,90,13.12
201601,2016-01-01,2016,26439,"INSTITUTO FEDERAL DE SAO PAULO","26439",4113,3570,3456,657,543,114,15.97
201601,2016-01-01,2016,26440,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","26440",1383,1288,1262,121,95,26,8.75
201601,2016-01-01,2016,26441,"UNIVERSIDADE FEDERAL DO OESTE DO PARA","26441",1133,972,923,210,161,49,18.53
201601,2016-01-01,2016,26442,"UN. INT.INTERN. LUSOFONIA AFROBRASILEIRA","26442",739,544,512,227,195,32,30.72
201601,2016-01-01,2016,26447,"UNIVERSIDADE FEDERAL DO OESTE DA BAHIA","26447",562,422,414,148,140,8,26.33
201601,2016-01-01,2016,26448,"UNIVERSIDADE FED. SUL SUDESTE DO PARA","26448",643,462,446,197,181,16,30.64
201601,2016-01-01,2016,26450,"UNIVERSIDADE FEDERAL DO SUL DA BAHIA","26450",404,377,336,68,27,41,16.83
201601,2016-01-01,2016,30202,"FUNDACAO NACIONAL DOS POVOS INDIGENAS","30202",5684,3198,2210,3474,2486,988,61.12
201601,2016-01-01,2016,30203,"INST.NAC.METROLOGIA,NORM.E QUAL.INDL.","30203",1964,1346,935,1029,618,411,52.39
201601,2016-01-01,2016,30204,"INSTITUTO NAC. DA PROPRIEDADE INDUSTRIAL","30204",1858,1207,948,910,651,259,48.98
201601,2016-01-01,2016,30802,"DEPTO. DE POLICIA RODOVIARIA FEDERAL","30802",13984,13517,10955,3029,467,2562,21.66
201601,2016-01-01,2016,32000,"MINISTERIO DE MINAS E ENERGIA","32000",907,907,271,636,0,636,70.12
201601,2016-01-01,2016,32200,"AGENCIA NACIONAL DE ENERGIA ELETRICA","32200",782,782,649,133,0,133,17.01
201601,2016-01-01,2016,32300,"AGENCIA NAC PETROLEO GAS NAT BIOCOMBUSTI","32300",838,806,744,94,32,62,11.22
201601,2016-01-01,2016,33206,"SUPERINT.NAC.DE PREVIDENCIA COMPLEMENTAR","33206",232,160,90,142,72,70,61.21
201601,2016-01-01,2016,35000,"MINISTERIO DAS RELACOES EXTERIORES","35000",5382,4026,3120,2262,1356,906,42.03
201601,2016-01-01,2016,35201,"FUNDACAO ALEXANDRE DE GUSMAO","35201",91,91,55,36,0,36,39.56
201601,2016-01-01,2016,36201,"FUNDACAO OSWALDO CRUZ","36201",6896,6512,5470,1426,384,1042,20.68
201601,2016-01-01,2016,36205,"FUNDACAO NACIONAL DE SAUDE","36205",20978,20966,7207,13771,12,13759,65.64
201601,2016-01-01,2016,36207,"AGENCIA NACIONAL DE VIGILANCIA SANITARIA","36207",2133,2040,2006,127,93,34,5.95
