"orgao","entidade","bloco","sigla_orgao","nome_orgao","primeiro","ultimo","meses","aprovada_max","entidade_nome","confianca","evidencia","bloco_nome"
26278,26278,"26278","FUFPEL","FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS",201601,202606,124,2798,"FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS"
26279,26279,"26279","UFPI","UNIVERSIDADE FEDERAL DO PIAUI",201601,202606,124,3135,"UNIVERSIDADE FEDERAL DO PIAUI","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DO PIAUI"
26280,26280,"26280","FUFSCAR","UNIVERSIDADE FEDERAL DE SAO CARLOS",201601,202606,124,2443,"UNIVERSIDADE FEDERAL DE SAO CARLOS","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE SAO CARLOS"
26281,26281,"26281","FUFS","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE",201601,202606,124,3225,"FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE"
26282,26282,"26282","UFV","UNIVERSIDADE FEDERAL DE VICOSA",201601,202606,124,3754,"UNIVERSIDADE FEDERAL DE VICOSA","estavel","código presente sem troca ao longo da série","UNIVERSIDADE FEDERAL DE VICOSA"
26283,26283,"26283","UFMS","UNIV. FEDERAL DE MATO GROSSO DO SUL",201601,202606,124,3611,"UNIV. FEDERAL DE MATO GROSSO DO SUL","estavel","código presente sem troca ao longo da série","UNIV. FEDERAL DE MATO GROSSO DO SUL"
26284,26284,"26284","UFCSPA","FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE",201601,202606,124,644,"FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE","estavel","código presente sem troca ao longo da série","FUND.UNIV.FED.CIENC.SAUDE D PORTO ALEGRE"
26285,26285,"26285","FUNREI","FUND. UNIVERSIDADE DE SAO JOAO DEL REI",201601,202606,124,1501,"FUND. UNIVERSIDADE DE SAO JOAO DEL REI","estavel","código presente sem troca ao longo da série","FUND. UNIVERSIDADE DE SAO JOAO DEL REI"
26286,26286,"26286","UNIFAP","FUNDACAO UNVERSIDADE FEDERAL DO AMAPA",201601,202606,124,1244,"FUNDACAO UNVERSIDADE FEDERAL DO AMAPA","estavel","código presente sem troca ao longo da série","FUNDACAO UNVERSIDADE FEDERAL DO AMAPA"
26292,26292,"26292","FJN","FUNDACAO JOAQUIM NABUCO",201601,202606,124,453,"FUNDACAO JOAQUIM NABUCO","estavel","código presente sem troca ao longo da série","FUNDACAO JOAQUIM NABUCO"
26298,26298,"26298","CAPES","FUND COORD APERF PESSOAL NIVEL SUPERIOR",201601,202606,124,553,"FUND COORD APERF PESSOAL NIVEL SUPERIOR","estavel","código presente sem troca ao longo da série","FUND COORD APERF PESSOAL NIVEL SUPERIOR"
26350,26350,"26350","UFGD","FUND. UNIV FEDERAL DA GRANDE DOURADOS",201601,202606,124,1654,"FUND. UNIV FEDERAL DA GRANDE DOURADOS","estavel","código presente sem troca ao longo da série","FUND. UNIV FEDERAL DA GRANDE DOURADOS"
26351,26351,"26351","UFRB","UNIV. FEDERAL DO RECONCAVO DA BAHIA",201601,202606,124,1723,"UNIV. FEDERAL DO RECONCAVO DA BAHIA","estavel","código presente sem troca ao longo da série","UNIV. FEDERAL DO RECONCAVO DA BAHIA"
26352,26352,"26352","UFABC","FUNDACAO UNIVERSIDADE FEDERAL DO ABC",201601,202606,124,1616,"FUNDACAO UNIVERSIDADE FEDERAL DO ABC","estavel","código presente sem troca ao longo da série","FUNDACAO UNIVERSIDADE FEDERAL DO ABC"
26401,26401,"26401","IFAC","INSTITUTO FEDERAL DO ACRE",201601,202606,124,898,"INSTITUTO FEDERAL DO ACRE","estavel","código presente sem troca ao longo da série","INSTITUTO FEDERAL DO ACRE"
26402,26402,"26402","IFAL","INSTITUTO FEDERAL DE ALAGOAS",201601,202606,124,2023,"INSTITUTO FEDERAL DE ALAGOAS","estavel","código presente sem troca ao longo da série","INSTITUTO FEDERAL DE ALAGOAS"
26403,26403,"26403","IFAM","INSTITUTO FEDERAL DO AMAZONAS",201601,202606,124,2106,"INSTITUTO FEDERAL DO AMAZONAS","estavel","código presente sem troca ao longo da série","INSTITUTO FEDERAL DO AMAZONAS"
26404,26404,"26404","IFBAIANO","INSTITUTO FEDERAL BAIANO",201601,202606,124,2037,"INSTITUTO FEDERAL BAIANO","estavel","código presente sem troca ao longo da série","INSTITUTO FEDERAL BAIANO"
26405,26405,"26405","IFCE","INSTITUTO FEDERAL DO CEARA",201601,202606,124,3998,"INSTITUTO FEDERAL DO CEARA","estavel","código presente sem troca ao longo da série","INSTITUTO FEDERAL DO CEARA"
